grade,sourceChapter,sourceLesson,targetChapter,targetLesson,score,flags,questionCount,url
1,Chủ đề 7: Độ dài và đo độ dài,Trắc nghiệm Bài 28: Luyện tập chung,CH?A MAP ???C,CH?A MAP ???C,0,unmatched,2,https://vietjack.com/toan-1-ket-noi/trac-nghiem-bai-28-luyen-tap-chung.jsp
1,"Trắc nghiệm Chủ đề 8: Phép cộng, phép trừ (không nhớ) trong phạm vi 100",Trắc nghiệm Bài 29: Phép cộng số có hai chữ số với số có một chữ số,CH?A MAP ???C,CH?A MAP ???C,23,unmatched,6,https://vietjack.com/toan-1-ket-noi/trac-nghiem-bai-29-phep-cong-so-co-hai-chu-so-voi-so-co-mot.jsp
1,"Trắc nghiệm Chủ đề 8: Phép cộng, phép trừ (không nhớ) trong phạm vi 100",Trắc nghiệm Bài 30: Phép cộng số có hai chữ số với số có hai chữ số,CH?A MAP ???C,CH?A MAP ???C,25,unmatched,8,https://vietjack.com/toan-1-ket-noi/trac-nghiem-bai-30-phep-cong-so-co-hai-chu-so-voi-so-co-hai.jsp
1,"Trắc nghiệm Chủ đề 8: Phép cộng, phép trừ (không nhớ) trong phạm vi 100",Trắc nghiệm Bài 31: Phép trừ số có hai chữ số cho số có một chữ số,CH?A MAP ???C,CH?A MAP ???C,23,unmatched,6,https://vietjack.com/toan-1-ket-noi/trac-nghiem-bai-31-phep-tru-so-co-hai-chu-so-cho-so-co-mot.jsp
1,"Trắc nghiệm Chủ đề 8: Phép cộng, phép trừ (không nhớ) trong phạm vi 100",Trắc nghiệm Bài 32: Phép trừ số có hai chữ số cho số có hai chữ số,CH?A MAP ???C,CH?A MAP ???C,25,unmatched,10,https://vietjack.com/toan-1-ket-noi/trac-nghiem-bai-32-phep-tru-so-co-hai-chu-so-cho-so-co-hai.jsp
1,"Trắc nghiệm Chủ đề 8: Phép cộng, phép trừ (không nhớ) trong phạm vi 100",Trắc nghiệm Bài 33: Luyện tập chung,CH?A MAP ???C,CH?A MAP ???C,0,unmatched,10,https://vietjack.com/toan-1-ket-noi/trac-nghiem-bai-33-luyen-tap-chung.jsp
2,"Trắc nghiệm Chương 1. Ôn tập lớp 1. Phép cộng, phép trừ (có nhớ) trong phạm vi 20.",Trắc nghiệm Ôn tập các số đến 100,CH?A MAP ???C,CH?A MAP ???C,23,unmatched,4,https://vietjack.com/toan-2-canh-dieu/trac-nghiem-on-tap-cac-so-den-100.jsp
2,"Trắc nghiệm Chương 1. Ôn tập lớp 1. Phép cộng, phép trừ (có nhớ) trong phạm vi 20.","Trắc nghiệm Ôn tập về phép cộng, phép trừ (không nhớ) trong phạm vi 100","CHƯƠNG 2: PHÉP CỘNG, PHÉP TRỪ (CÓ NHỚ) TRONG PHẠM VI 100",1. Phép cộng (có nhớ) trong phạm vi 100,53,low_score|ambiguous_match,6,https://vietjack.com/toan-2-canh-dieu/trac-nghiem-on-tap-phep-cong-phep-tru-khong-nho-trong-pham-vi-100.jsp
2,"Trắc nghiệm Chương 1. Ôn tập lớp 1. Phép cộng, phép trừ (có nhớ) trong phạm vi 20.",Trắc nghiệm Bài toán về nhiều hơn,CH?A MAP ???C,CH?A MAP ???C,7,unmatched,4,https://vietjack.com/toan-2-canh-dieu/trac-nghiem-bai-toan-ve-nhieu-hon.jsp
2,"Trắc nghiệm Chương 1. Ôn tập lớp 1. Phép cộng, phép trừ (có nhớ) trong phạm vi 20.",Trắc nghiệm Bài toán về ít hơn,CH?A MAP ???C,CH?A MAP ???C,7,unmatched,4,https://vietjack.com/toan-2-canh-dieu/trac-nghiem-bai-toan-ve-it-hon.jsp
2,"Trắc nghiệm Chương 1. Ôn tập lớp 1. Phép cộng, phép trừ (có nhớ) trong phạm vi 20.",Trắc nghiệm Em ôn lại những gì đã học,CH?A MAP ???C,CH?A MAP ???C,0,unmatched,7,https://vietjack.com/toan-2-canh-dieu/trac-nghiem-em-on-lai-nhung-gi-da-hoc.jsp
2,Trắc nghiệm Chương 4. Các số trong phạm vi 1000,Trắc nghiệm Các số trong phạm vi 1000,"CHƯƠNG 4: CÁC SỐ TRONG PHẠM VI 1000. PHÉP CỘNG, PHÉP TRỪ TRONG PHẠM VI 1000",1. Các số trong phạm vi 1000,92,ambiguous_match,7,https://vietjack.com/toan-2-canh-dieu/trac-nghiem-cac-so-trong-pham-vi-1000.jsp
2,Trắc nghiệm Chương 4. Các số trong phạm vi 1000,Trắc nghiệm Các số có ba chữ số,"CHƯƠNG 4: CÁC SỐ TRONG PHẠM VI 1000. PHÉP CỘNG, PHÉP TRỪ TRONG PHẠM VI 1000",2. Các số có ba chữ số,92,ambiguous_match,6,https://vietjack.com/toan-2-canh-dieu/trac-nghiem-cac-so-co-ba-chu-so.jsp
2,Trắc nghiệm Chương 4. Các số trong phạm vi 1000,Trắc nghiệm Các số có ba chữ số (tiếp theo),"CHƯƠNG 4: CÁC SỐ TRONG PHẠM VI 1000. PHÉP CỘNG, PHÉP TRỪ TRONG PHẠM VI 1000",3. Các số có ba chữ số (tiếp theo),92,,4,https://vietjack.com/toan-2-canh-dieu/trac-nghiem-cac-so-co-ba-chu-so-tiep-theo.jsp
2,Trắc nghiệm Chương 4. Các số trong phạm vi 1000,Trắc nghiệm So sánh các số có ba chữ số,"CHƯƠNG 4: CÁC SỐ TRONG PHẠM VI 1000. PHÉP CỘNG, PHÉP TRỪ TRONG PHẠM VI 1000",4. So sánh các số có ba chữ số,92,,6,https://vietjack.com/toan-2-canh-dieu/trac-nghiem-so-sanh-cac-so-co-ba-chu-so.jsp
2,Trắc nghiệm Chương 4. Các số trong phạm vi 1000,Trắc nghiệm Mét,"CHƯƠNG 1: ÔN TẬP LỚP 1 PHÉP CỘNG, PHÉP TRỪ (CÓ NHỚ) TRONG PHẠM VI 20",4. Đề-xi-mét,92,ambiguous_match,12,https://vietjack.com/toan-2-canh-dieu/trac-nghiem-met.jsp
2,Trắc nghiệm Chương 4. Các số trong phạm vi 1000,Trắc nghiệm Ki-lô-mét,"CHƯƠNG 4: CÁC SỐ TRONG PHẠM VI 1000. PHÉP CỘNG, PHÉP TRỪ TRONG PHẠM VI 1000",11. Ki-lô-mét,92,,11,https://vietjack.com/toan-2-canh-dieu/trac-nghiem-ki-lo-met.jsp
2,Trắc nghiệm Chương 4. Các số trong phạm vi 1000,Trắc nghiệm Biểu đồ tranh,"CHƯƠNG 4: CÁC SỐ TRONG PHẠM VI 1000. PHÉP CỘNG, PHÉP TRỪ TRONG PHẠM VI 1000",19. Biểu đồ tranh,92,,10,https://vietjack.com/toan-2-canh-dieu/trac-nghiem-bieu-do-tranh.jsp
2,Trắc nghiệm Chương 4. Các số trong phạm vi 1000,Trắc nghiệm Ôn tập về số và các phép tính trong phạm vi 1000 (tiếp theo),CH?A MAP ???C,CH?A MAP ???C,40,unmatched,8,https://vietjack.com/toan-2-canh-dieu/trac-nghiem-on-tap-so-va-phep-tinh-trong-pham-vi-1000-tiep-theo.jsp
3,"Trắc nghiệm Chương 1: Bảng nhân, bảng chia",Trắc nghiệm Ôn tập về các số trong phạm vi 1000,CH?A MAP ???C,CH?A MAP ???C,44,unmatched,9,https://vietjack.com/toan-3-cd/trac-nghiem-on-tap-ve-cac-so-trong-pham-vi-1000.jsp
3,"Trắc nghiệm Chương 1: Bảng nhân, bảng chia","Trắc nghiệm Ôn tập về phép cộng, phép trừ trong phạm vi 1000",CH?A MAP ???C,CH?A MAP ???C,40,unmatched,9,https://vietjack.com/toan-3-cd/trac-nghiem-on-tap-ve-phep-cong-phep-tru-trong-pham-vi-1000.jsp
3,"Trắc nghiệm Chương 1: Bảng nhân, bảng chia",Trắc nghiệm Ôn tập về hình học và đo lường trang 10,CH?A MAP ???C,CH?A MAP ???C,11,unmatched,8,https://vietjack.com/toan-3-cd/trac-nghiem-on-tap-ve-hinh-hoc-va-do-luong-trang-10.jsp
3,"Trắc nghiệm Chương 1: Bảng nhân, bảng chia","Trắc nghiệm Ôn tập về phép nhân, bảng nhân 2, bảng nhân 5",CH?A MAP ???C,CH?A MAP ???C,40,unmatched,7,https://vietjack.com/toan-3-cd/trac-nghiem-on-tap-ve-phep-nhan-bang-nhan-2-bang-nhan-5.jsp
3,"Trắc nghiệm Chương 1: Bảng nhân, bảng chia",Trắc nghiệm Luyện tập (trang 30),CH?A MAP ???C,CH?A MAP ???C,0,unmatched,8,https://vietjack.com/toan-3-cd/trac-nghiem-luyen-tap-trang-30.jsp
3,"Trắc nghiệm Chương 1: Bảng nhân, bảng chia",Trắc nghiệm Luyện tập (tiếp theo) (trang 32),CH?A MAP ???C,CH?A MAP ???C,18,unmatched,8,https://vietjack.com/toan-3-cd/trac-nghiem-luyen-tap-tiep-theo-trang-32.jsp
3,"Trắc nghiệm Chương 1: Bảng nhân, bảng chia","Trắc nghiệm Ôn tập về phép chia, bảng chia 2, bảng chia 5",CH?A MAP ???C,CH?A MAP ???C,32,unmatched,8,https://vietjack.com/toan-3-cd/trac-nghiem-on-tap-ve-phep-chia-bang-chia-2-bang-chia-5.jsp
3,"Trắc nghiệm Chương 1: Bảng nhân, bảng chia",Trắc nghiệm Luyện tập (trang 52),CH?A MAP ???C,CH?A MAP ???C,0,unmatched,7,https://vietjack.com/toan-3-cd/trac-nghiem-luyen-tap-trang-52.jsp
3,"Trắc nghiệm Chương 1: Bảng nhân, bảng chia",Trắc nghiệm Luyện tập (tiếp theo) (trang 54),CH?A MAP ???C,CH?A MAP ???C,18,unmatched,9,https://vietjack.com/toan-3-cd/trac-nghiem-luyen-tap-tiep-theo-trang-54.jsp
3,"Trắc nghiệm Chương 1: Bảng nhân, bảng chia",Trắc nghiệm Em ôn lại những gì đã học (trang 63),CH?A MAP ???C,CH?A MAP ???C,0,unmatched,8,https://vietjack.com/toan-3-cd/trac-nghiem-em-on-lai-nhung-gi-da-hoc-trang-63.jsp
3,"Trắc nghiệm Chương 2: Nhân, chia các số trong phạm vi 1000",Trắc nghiệm Nhân số tròn chục với một chữ số,"Chủ đề 2: Nhân, chia các số trong phạm vi 1 000",1. Nhân số tròn chục với số có một chữ số,70,,8,https://vietjack.com/toan-3-cd/trac-nghiem-nhan-so-tron-chuc-voi-so-co-mot-chu-so.jsp
3,"Trắc nghiệm Chương 2: Nhân, chia các số trong phạm vi 1000",Trắc nghiệm Nhân với số có một chữ số (không nhớ),"Chủ đề 2: Nhân, chia các số trong phạm vi 1 000",2. Nhân với số có một chữ số (không nhớ),92,ambiguous_match,8,https://vietjack.com/toan-3-cd/trac-nghiem-nhan-voi-so-co-mot-chu-so-khong-nho.jsp
3,"Trắc nghiệm Chương 2: Nhân, chia các số trong phạm vi 1000",Trắc nghiệm Luyện tập (trang 72),CH?A MAP ???C,CH?A MAP ???C,0,unmatched,7,https://vietjack.com/toan-3-cd/trac-nghiem-luyen-tap-trang-72.jsp
3,"Trắc nghiệm Chương 2: Nhân, chia các số trong phạm vi 1000",Trắc nghiệm Phép chia hết. Phép chia có dư,"Chủ đề 2: Nhân, chia các số trong phạm vi 1 000","4. Phép chia hết, phép chia có dư",92,,8,https://vietjack.com/toan-3-cd/trac-nghiem-phep-chia-het-phep-chia-co-du.jsp
